Ogre	Ogre									
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Throw Rock	4	6	2		3		attack |x|: strength |x| + 2	basic wound	5m range
Ogre	Throw Rock	4	6	2		3		attack |x|: strength |x| + 2	basic wound	5m range
Ogre	Throw Rock	4	6	2		3		attack |x|: strength |x| + 2	basic wound	5m range
Ogre	Ogre Strength	8	2	2						
Ogre	Ogre Strength	8	2	2						
Ogre	Ogre Strength	8	2	2						
Ogre	Ogre Strength	8	2	2						
										
										
Sky Zombie	Sky Zombie							Always attacks or blocks if possible, defends every attack with red	draws only 1 card per turn	
Sky Zombie	Swat	2	0	0		1		attack |x|: strength = |x| + 2	basic wound	
